id_cliente,genero,regiao,faixa_etaria,renda_mensal,score_bureau,tempo_emprego_meses,y_real,score_modelo_v1,pred_v1,score_modelo_v2,pred_v2,obs_internas
C00143,F,Sudeste,41-60,7626.78,628,139,0,0.878242,1,0.778256,1,
C00144,F,Sudeste,26-40,1000.0,520,0,0,0.040111,0,0.127059,0,
C00145,M,Nordeste,26-40,2965.39,515,67,0,0.168034,0,0.202671,0,
C00146,M,Sul,41-60,11572.07,739,182,1,0.990296,1,0.964991,1,
C00147,M,Nordeste,26-40,2777.3,622,43,0,0.385546,0,0.560498,1,
C00148,F,Sudeste,26-40,6685.41,788,85,1,0.937359,1,0.948421,1,
C00149,M,Sul,60+,2924.95,608,253,0,0.943069,1,0.545172,1,
C00150,M,Centro-Oeste,18-25,2012.72,651,0,1,0.188487,0,0.479403,0,
C00151,M,Nordeste,41-60,3195.01,645,187,1,0.893874,1,0.640848,1,
C00152,F,Nordeste,41-60,1645.89,579,131,0,0.458342,0,0.284272,0,
C00153,M,Centro-Oeste,26-40,4954.25,668,76,1,0.773031,1,0.815551,1,
C00154,F,Nordeste,41-60,2117.05,498,107,0,0.149627,0,0.101432,0,
C00155,F,Nordeste,26-40,3599.03,552,14,0,0.15277,0,0.364541,0,
C00156,F,Nordeste,41-60,4512.13,562,136,1,0.719128,1,0.546523,1,
C00157,M,Sudeste,41-60,4185.1,676,150,1,0.898506,1,0.778358,1,
C00158,M,Sudeste,41-60,3856.61,577,144,0,0.805831,1,0.630915,1,
C00159,F,Norte,41-60,5301.14,707,118,0,0.892655,1,0.850489,1,
C00160,F,Sudeste,41-60,5154.04,598,181,1,0.899939,1,0.681156,1,
C00161,M,Nordeste,18-25,1017.39,508,0,0,0.015536,0,0.049477,0,
C00162,M,Nordeste,18-25,2395.27,612,25,0,0.156972,0,0.319863,0,
C00163,M,Sudeste,18-25,1000.0,594,85,0,0.264204,0,0.252039,0,
C00164,F,Sul,26-40,2631.29,551,42,1,0.099685,0,0.172716,0,
C00165,M,Sudeste,41-60,3174.81,683,178,0,0.961293,1,0.860799,1,
C00166,F,Sudeste,41-60,4809.31,481,56,0,0.094489,0,0.138333,0,
C00167,F,Sudeste,26-40,2641.71,565,7,0,0.231762,0,0.512194,1,
C00168,M,Sudeste,41-60,1870.48,554,77,0,0.347706,0,0.370606,0,
C00169,F,Sul,18-25,1933.86,590,0,0,0.130744,0,0.365511,0,
C00170,F,Norte,41-60,3721.72,678,86,1,0.536877,1,0.54472,1,
C00171,M,Sul,18-25,1000.0,493,0,0,0.016523,0,0.052051,0,
C00172,F,Sudeste,26-40,1999.83,577,0,0,0.056072,0,0.177392,0,
C00173,F,Sudeste,26-40,4114.42,697,97,1,0.868743,1,0.860034,1,
C00174,F,Sudeste,26-40,4323.39,616,68,0,0.517496,1,0.603317,1,
C00175,F,Norte,41-60,4838.56,548,62,0,0.472286,0,0.576682,1,
C00176,F,Norte,26-40,2800.62,608,30,0,0.135262,0,0.269731,0,
C00177,M,Sul,18-25,2187.66,751,20,1,0.448056,0,0.702609,1,
C00178,M,Sul,26-40,1389.27,561,23,1,0.158578,0,0.323986,0,
C00179,M,Sudeste,60+,4547.02,543,210,1,0.884274,1,0.524136,1,
C00180,F,Nordeste,26-40,2629.32,715,37,1,0.588071,1,0.769015,1,
C00181,M,Sudeste,41-60,8266.33,829,194,1,0.991448,1,0.963352,1,
C00182,F,Sudeste,41-60,7647.15,623,78,1,0.771626,1,0.811992,1,
C00183,M,Nordeste,41-60,4714.27,631,105,1,0.82776,1,0.793689,1,
C00184,M,Norte,41-60,4072.76,591,206,0,0.920487,1,0.643362,1,
C00185,M,Sul,60+,3020.22,570,186,0,0.877113,1,0.595371,1,
C00186,F,Sudeste,41-60,5427.14,605,168,1,0.897249,1,0.719926,1,
C00187,M,Nordeste,41-60,10862.53,762,156,1,0.984634,1,0.963379,1,
C00188,M,Sudeste,18-25,2332.9,692,0,0,0.206946,0,0.504528,1,
C00189,F,Nordeste,41-60,6021.08,646,92,1,0.776132,1,0.778459,1,
C00190,M,Norte,18-25,1862.35,665,36,1,0.314043,0,0.506227,1,
C00191,M,Sudeste,26-40,2112.15,419,62,0,0.066051,0,0.085568,0,
C00192,M,Nordeste,41-60,3223.45,521,150,1,0.611196,1,0.360208,0,
C00193,M,Nordeste,41-60,3281.88,661,125,1,0.840074,1,0.75053,1,
C00194,F,Sul,26-40,2233.37,496,10,0,0.069999,0,0.191965,0,
C00195,M,Nordeste,41-60,3192.18,476,90,0,0.134609,0,0.118254,0,
C00196,M,Centro-Oeste,41-60,6028.25,625,190,1,0.917812,1,0.692218,1,
C00197,M,Sudeste,26-40,1047.64,499,32,0,0.018907,0,0.036774,0,
C00198,F,Sudeste,18-25,2446.95,640,0,0,0.287301,0,0.617965,1,
C00199,F,Sul,26-40,4988.65,789,55,1,0.801181,1,0.885948,1,
C00200,M,Sudeste,18-25,2284.57,696,46,0,0.299356,0,0.445529,0,
C00201,F,Sudeste,26-40,2294.88,649,30,0,0.181992,0,0.345064,0,
C00202,M,Sudeste,18-25,1332.1,569,12,1,0.074249,0,0.187705,0,
C00203,M,Sudeste,41-60,7021.3,813,221,1,0.996432,1,0.975798,1,
C00204,M,Centro-Oeste,26-40,5302.92,947,74,1,0.975863,1,0.984328,1,
C00205,M,Sudeste,26-40,2182.73,548,0,0,0.065119,0,0.208871,0,
C00206,F,Centro-Oeste,41-60,7728.49,724,118,1,0.911459,1,0.87484,1,
C00207,M,Nordeste,41-60,3915.54,678,128,1,0.813635,1,0.709586,1,
C00208,F,Sudeste,41-60,3620.72,513,111,1,0.437963,0,0.342796,0,
C00209,F,Sudeste,26-40,2747.86,582,45,0,0.259938,0,0.403708,0,
C00210,F,Sudeste,41-60,4322.1,774,118,1,0.949464,1,0.928848,1,
C00211,M,Sul,26-40,4251.55,702,67,1,0.816098,1,0.869601,1,
C00212,M,Norte,18-25,1076.99,595,19,0,0.095203,0,0.220879,0,
C00213,M,Sudeste,26-40,2905.06,711,100,1,0.629645,1,0.58286,1,
C00214,F,Sudeste,26-40,2035.8,494,23,0,0.05291,0,0.124438,0,
C00215,F,Sudeste,41-60,5145.24,563,152,1,0.812111,1,0.61507,1,
C00216,F,Nordeste,60+,4266.56,549,186,0,0.840602,1,0.525979,1,
C00217,F,Sudeste,26-40,2851.24,624,27,1,0.178222,0,0.351635,0,
C00218,M,Sul,26-40,2255.8,514,69,0,0.279866,0,0.326938,0,
C00219,F,Sudeste,26-40,6113.01,763,94,1,0.942806,1,0.945053,1,
C00220,M,Sudeste,41-60,3886.0,633,134,1,0.840612,1,0.723844,1,
C00221,M,Sudeste,18-25,1000.0,403,0,0,0.014198,0,0.045139,0,
C00222,F,Nordeste,41-60,3092.41,475,92,0,0.169536,0,0.145259,0,
C00223,M,Sudeste,41-60,4894.0,520,136,1,0.559519,1,0.370913,0,
C00224,M,Sul,18-25,1711.91,610,36,0,0.193586,0,0.341596,0,
C00225,M,Sul,41-60,4866.0,528,120,0,0.389081,0,0.266744,0,
C00226,F,Norte,41-60,4584.69,672,131,1,0.864341,1,0.774682,1,
C00227,F,Sudeste,18-25,2253.31,612,40,1,0.262536,0,0.42559,0,
C00228,M,Nordeste,41-60,9412.81,783,124,1,0.980723,1,0.971934,1,
C00229,M,Sudeste,26-40,1910.54,681,67,1,0.250179,0,0.305116,0,
C00230,F,Sul,41-60,4898.84,615,95,1,0.645612,1,0.629792,1,
C00231,F,Centro-Oeste,26-40,5337.76,729,65,1,0.713505,1,0.799907,1,
C00232,F,Sudeste,41-60,5031.11,598,116,1,0.530581,1,0.416896,0,
C00233,M,Norte,18-25,1370.69,706,37,1,0.242102,0,0.411525,0,
C00234,M,Nordeste,26-40,3583.78,686,57,1,0.7485,1,0.836599,1,
C00235,F,Sul,26-40,4120.74,627,71,0,0.589292,1,0.660153,1,
C00236,M,Sudeste,26-40,1278.87,440,1,0,0.016019,0,0.051947,0,
C00237,M,Nordeste,26-40,5589.72,703,71,0,0.76764,1,0.826928,1,
C00238,F,Nordeste,41-60,8209.29,677,140,1,0.940167,1,0.885926,1,
C00239,M,Nordeste,41-60,3339.05,421,80,0,0.166362,0,0.171498,0,
C00240,M,Sudeste,41-60,3586.59,665,185,1,0.941199,1,0.781326,1,
C00241,M,Sul,26-40,3643.05,623,147,1,0.752156,1,0.548286,1,
C00242,M,Sul,41-60,2411.94,508,130,0,0.267982,0,0.142218,0,
C00243,M,Sudeste,41-60,2149.84,631,156,0,0.807498,1,0.582043,1,
C00244,F,Norte,41-60,6603.04,614,132,0,0.86365,1,0.771465,1,
C00245,F,Sudeste,60+,2322.69,584,174,0,0.758352,1,0.434975,0,
C00246,M,Sudeste,26-40,2094.75,617,82,1,0.38462,0,0.399478,0,
C00247,M,Nordeste,26-40,2640.48,626,48,1,0.342438,0,0.493734,0,
C00248,M,Norte,60+,7246.0,680,202,1,0.967644,1,0.845484,1,
C00249,M,Sudeste,18-25,2115.19,508,20,0,0.080935,0,0.191885,0,
C00250,F,Sudeste,60+,1752.09,573,203,0,0.821393,1,0.40838,0,
C00251,M,Sul,26-40,2185.62,592,55,1,0.392662,0,0.511464,1,
C00252,F,Sul,41-60,5801.59,613,205,1,0.947821,1,0.750148,1,
C00253,F,Centro-Oeste,26-40,5389.3,684,48,1,0.626031,1,0.77492,1,
C00254,M,Sudeste,18-25,1000.0,387,0,0,0.004542,0,0.013934,0,
C00255,F,Sul,26-40,1706.49,422,0,0,0.016601,0,0.055449,0,
C00256,M,Nordeste,26-40,5023.75,645,56,0,0.320064,0,0.441398,0,
C00257,F,Sudeste,41-60,4680.8,539,95,0,0.405542,0,0.367353,0,
C00258,M,Sudeste,18-25,1853.11,704,58,1,0.523876,1,0.639213,1,
C00259,M,Nordeste,26-40,3288.38,722,74,1,0.720148,1,0.773542,1,
C00260,F,Centro-Oeste,41-60,5866.54,678,130,1,0.900851,1,0.836301,1,
C00261,F,Nordeste,26-40,3669.4,591,21,0,0.274953,0,0.524515,1,
C00262,F,Centro-Oeste,26-40,6770.69,748,36,1,0.840394,1,0.932499,1,
C00263,F,Nordeste,26-40,4435.75,626,0,1,0.218211,0,0.539863,1,
C00264,M,Sudeste,18-25,3319.71,491,43,1,0.16017,0,0.269307,0,
C00265,M,Nordeste,18-25,1000.0,448,0,0,0.018111,0,0.05833,0,
C00266,F,Nordeste,26-40,3111.32,647,90,1,0.510164,1,0.494224,0,
C00267,F,Sul,41-60,5687.65,685,150,1,0.909672,1,0.79693,1,
C00268,M,Sudeste,26-40,3166.62,600,97,1,0.466949,0,0.418354,0,
C00269,F,Sul,41-60,13357.77,820,114,1,0.979545,1,0.975713,1,
C00270,F,Norte,18-25,1269.01,552,0,1,0.078431,0,0.235373,0,
C00271,M,Nordeste,26-40,1982.55,761,7,1,0.598932,1,0.848365,1,
C00272,M,Sudeste,26-40,3931.45,688,112,1,0.756506,1,0.681911,1,
C00273,F,Nordeste,18-25,1232.8,538,0,0,0.078537,0,0.233892,0,
C00274,M,Sudeste,26-40,3247.53,623,0,1,0.165248,0,0.446856,0,
C00275,F,Sudeste,26-40,3556.47,596,49,1,0.414265,0,0.568747,1,
C00276,M,Sudeste,18-25,1589.59,612,25,1,0.089166,0,0.192437,0,
C00277,F,Nordeste,26-40,2607.24,702,104,1,0.819334,1,0.783788,1,
C00278,F,Sudeste,26-40,3605.36,681,58,0,0.590582,1,0.709099,1,
C00279,M,Nordeste,41-60,2188.05,451,151,0,0.572051,1,0.305154,0,
C00280,M,Sudeste,41-60,4270.81,669,158,0,0.896081,1,0.750468,1,
C00281,M,Sudeste,26-40,12413.62,811,126,1,0.987484,1,0.981853,1,
C00282,F,Sudeste,41-60,10339.69,670,88,1,0.905794,1,0.916914,1,
C00283,M,Sudeste,26-40,2445.07,565,69,0,0.305451,0,0.362328,0,
C00284,M,Nordeste,41-60,6765.94,587,157,1,0.890869,1,0.743076,1,
C00285,F,Norte,60+,3416.16,559,156,1,0.49243,0,0.235449,0,
C00286,M,Nordeste,26-40,2902.81,530,33,0,0.208449,0,0.375416,0,
C00287,F,Nordeste,26-40,5960.43,663,30,1,0.598629,1,0.802964,1,
C00288,F,Nordeste,18-25,1173.18,486,7,0,0.021243,0,0.060298,0,
C00289,F,Sudeste,41-60,3272.59,595,142,0,0.696298,1,0.479717,0,
C00290,F,Nordeste,26-40,3618.9,664,73,0,0.701086,1,0.755978,1,
C00291,M,Sul,26-40,8931.28,714,115,1,0.94295,1,0.925774,1,
C00292,F,Nordeste,41-60,3984.07,555,94,1,0.477709,0,0.452418,0,
C00293,F,Sul,26-40,2567.59,621,78,1,0.424298,0,0.460342,0,
C00294,M,Sudeste,41-60,10677.3,680,203,1,0.981395,1,0.907724,1,
C00295,F,Sudeste,26-40,1297.14,528,0,0,0.039219,0,0.122051,0,
C00296,M,Sudeste,26-40,3738.29,633,89,1,0.612824,1,0.615556,1,
C00297,M,Sudeste,41-60,1997.19,615,121,1,0.694127,1,0.564033,1,
C00298,F,Sudeste,41-60,6262.61,844,169,1,0.993634,1,0.98103,1,
C00299,M,Nordeste,41-60,3829.81,625,190,0,0.795384,1,0.429071,0,
C00300,F,Nordeste,41-60,8184.34,823,113,1,0.979908,1,0.975511,1,
C00301,M,Sudeste,18-25,1147.99,607,38,0,0.147844,0,0.25919,0,
C00302,F,Sudeste,41-60,2000.86,558,114,1,0.478402,0,0.362148,0,
C00303,F,Nordeste,41-60,4743.52,605,113,1,0.750495,1,0.676802,1,
C00304,M,Sudeste,41-60,5594.03,640,152,1,0.89453,1,0.766629,1,
C00305,F,Norte,18-25,2562.05,656,60,0,0.413575,0,0.525038,1,
C00306,M,Sudeste,26-40,3113.21,632,111,1,0.631014,1,0.545362,1,
C00307,M,Norte,60+,4032.86,646,209,1,0.964067,1,0.803757,1,
C00308,F,Nordeste,26-40,6640.38,775,113,1,0.958814,1,0.947947,1,
C00309,M,Sudeste,26-40,2094.77,508,111,0,0.134397,0,0.085812,0,
C00310,M,Sudeste,26-40,2227.52,534,76,1,0.238395,0,0.261049,0,
C00311,M,Norte,18-25,2301.17,488,45,1,0.099276,0,0.166208,0,
C00312,F,Sudeste,26-40,5945.78,787,35,1,0.765861,1,0.897856,1,
C00313,F,Sudeste,26-40,2257.11,524,92,0,0.291679,0,0.26423,0,
C00314,F,Sudeste,41-60,4586.88,625,146,1,0.842597,1,0.689742,1,
C00315,M,Norte,26-40,3989.06,680,109,0,0.731553,1,0.662919,1,
C00316,F,Sudeste,18-25,1373.3,596,12,0,0.141959,0,0.337495,0,
C00317,F,Norte,18-25,2015.86,473,0,0,0.041836,0,0.130784,0,
C00318,M,Sudeste,26-40,1801.18,589,15,0,0.062213,0,0.159083,0,
C00319,M,Sul,41-60,3714.25,730,153,0,0.93645,1,0.850013,1,
C00320,F,Sudeste,18-25,1385.59,769,8,0,0.388784,0,0.695152,1,
C00321,M,Nordeste,41-60,5730.11,841,180,1,0.99292,1,0.974783,1,
C00322,M,Nordeste,26-40,1000.0,421,18,0,0.015396,0,0.037466,0,
C00323,F,Centro-Oeste,26-40,2428.7,604,81,0,0.350317,0,0.369886,0,
C00324,F,Sudeste,26-40,2544.37,463,0,0,0.035365,0,0.118896,0,
C00325,M,Norte,26-40,5527.62,711,45,1,0.719348,1,0.848888,1,
C00326,M,Sudeste,18-25,1684.19,632,0,0,0.158741,0,0.421681,0,
C00327,F,Sudeste,26-40,2584.05,436,0,0,0.02567,0,0.087415,0,
C00328,F,Nordeste,18-25,1295.33,619,12,0,0.084079,0,0.22147,0,
C00329,M,Centro-Oeste,41-60,5828.71,755,103,1,0.929809,1,0.922373,1,
C00330,F,Sudeste,26-40,1876.46,509,15,0,0.049106,0,0.129833,0,
C00331,M,Nordeste,26-40,4425.13,754,91,1,0.938175,1,0.941367,1,
C00332,M,Sul,18-25,4264.57,570,0,0,0.096522,0,0.292651,0,
